text,label,source,clean_text
Kejagung Tangkap Buronan Interpol Pembobol BRI Senilai Rp 249 M,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,kejagung tangkap buronan interpol pembobol bri senilai rp m
"Rp 87 Juta Hilang dari Rekening, Nasabah Bank BRI Ini Bingung",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,rp juta hilang dari rekening nasabah bank bri ini bingung
"Berburu Mobil Baru Saat Akhir Pekan, Intip Promonya",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,berburu mobil baru saat akhir pekan intip promonya
BRI Boyong 7 Penghargaan di Ajang PR Indonesia Awards 2023,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri boyong penghargaan di ajang pr indonesia awards
Jos! BRI Kembali Raih Pengakuan Global Terkait ESG,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,jos bri kembali raih pengakuan global terkait esg
BRI Berikan Edukasi dan Sosialisasi Inklusi Keuangan untuk Dokter Gigi,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri berikan edukasi dan sosialisasi inklusi keuangan untuk dokter gigi
Jurus BRI Hadapi Ketidakpastian Ekonomi Global,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,jurus bri hadapi ketidakpastian ekonomi global
BRI Imbau Masyarakat Waspada Penipuan Undangan Nikah Digital,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri imbau masyarakat waspada penipuan undangan nikah digital
KPK Periksa Polisi yang Kenalkan Jaksa Seno dengan Petugas BRI,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,kpk periksa polisi yang kenalkan jaksa seno dengan petugas bri
"Hari Ini THR Dividen BRI Cair, Nilainya Bikin Senyum",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,hari ini thr dividen bri cair nilainya bikin senyum
Nasib Persiraja di BRI Liga 1 Bakal Ditentukan Malam Ini,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,nasib persiraja di bri liga bakal ditentukan malam ini
"UMKM ""Naik Kelas"" Lewat BRI Microfinance Outlook 2023",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,umkm naik kelas lewat bri microfinance outlook
Dirut BRI Beberkan Skenario Hadapi Ketidakpastian Ekonomi Global,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,dirut bri beberkan skenario hadapi ketidakpastian ekonomi global
Polisi Sita 33 Barang Bukti Kasus Pembobolan Uang Nasabah BRI,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,polisi sita barang bukti kasus pembobolan uang nasabah bri
"Makin Go Digital, BRI Edukasi UMKM di Pesta Rakyat Simpedes",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,makin go digital bri edukasi umkm di pesta rakyat simpedes
"BRI Kantongi Laba Rp 39,31 Triliun hingga Kuartal III 2022",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri kantongi laba rp triliun hingga kuartal iii
"Penggelapan, Polda Metro Tangkap Pejabat BRI Cabang Sudirman",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,penggelapan polda metro tangkap pejabat bri cabang sudirman
BRI Penyerahan Beasiswa 100 Putra/ Putri Pelaku Usaha di Desa BRILian,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri penyerahan beasiswa putra putri pelaku usaha di desa brilian
BRI Targetkan Fee Based Income Trade Finance Tumbuh 20%,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri targetkan fee based income trade finance tumbuh
BRI Berikan Anugerah kepada 5 Desa Paling Brilian Indonesia 2021,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri berikan anugerah kepada desa paling brilian indonesia
Simak Ini 4 Poin Penting Hasil RUPST Bank BRI,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,simak ini poin penting hasil rupst bank bri
"Dengan Cara Ini, BRI Sukses Berdayakan Ekonomi Warga NTT",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,dengan cara ini bri sukses berdayakan ekonomi warga ntt
Mulai 1 Juli Pembayaran SSB Dilakukan di ATM BRI,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,mulai juli pembayaran ssb dilakukan di atm bri
BRI Hadirkan Pembayaran Digital Bagi Pengusaha Migas,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri hadirkan pembayaran digital bagi pengusaha migas
"Green Banking BRI, Pembiayaan Sektor Berkelanjutan Tembus 65%",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,green banking bri pembiayaan sektor berkelanjutan tembus
"Ditangkap di Banyumas, Teroris Anton Juga Ikut Merampok BRI Tangerang",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,ditangkap di banyumas teroris anton juga ikut merampok bri tangerang
"Dukung Pemenuhan Tempat Tinggal, BRI Gelar Property Expo 2023",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,dukung pemenuhan tempat tinggal bri gelar property expo
"Jangan Termakan Paket Transfer BRI Rp 150 Ribu, Ini Hoax!",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,jangan termakan paket transfer bri rp ribu ini hoax
Dirut BRI Janji Selamatkan UMKM dari Dampak Pandemi Covid-19,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,dirut bri janji selamatkan umkm dari dampak pandemi covid
Perampok Bersenpi di BRI Tangerang Diduga Sudah Memetakan Situasi,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,perampok bersenpi di bri tangerang diduga sudah memetakan situasi
"Konsisten Terapkan Keberlanjutan, Peringkat ESG BRI Naik",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,konsisten terapkan keberlanjutan peringkat esg bri naik
RUPST BRI Setujui Buyback Saham Rp 3 Triliun,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,rupst bri setujui buyback saham rp triliun
"BRI Beli 9 Juta Saham Danareksa Invesment Management, Ini Alasannya",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri beli juta saham danareksa invesment management ini alasannya
"Cetak Insan Unggul, BRILiaN Future Leader Program Dibuka",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,cetak insan unggul brilian future leader program dibuka
"BRI Telah Restrukturisasi Kredit Rp 183,7 Triliun untuk 2,9 Juta Nasabah",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri telah restrukturisasi kredit rp triliun untuk juta nasabah
Inilah Isi Selebaran di Lokasi ATM BRI yang Dibakar,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,inilah isi selebaran di lokasi atm bri yang dibakar
Suami Pegawai BRI yang Jatuh dari Lantai 10 Apartemen Masih Shock,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,suami pegawai bri yang jatuh dari lantai apartemen masih shock
"Permudah Calon Mahasiswa UK Petra, BRI Sediakan Fitur Cicilan",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,permudah calon mahasiswa uk petra bri sediakan fitur cicilan
"Hingga Oktober 2019, BRI Salurkan Rp 83,3 Triliun KUR",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,hingga oktober bri salurkan rp triliun kur
"Kantor Kas BRI Yogya Dirampok, Pelaku Ancam Pakai 'Bom'",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,kantor kas bri yogya dirampok pelaku ancam pakai bom
"Nasabah BCA, BNI, Mandiri, BTN & BRI Diminta Ubah Kartu ATM ke Chip",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,nasabah bca bni mandiri btn bri diminta ubah kartu atm ke chip
BRI Ajak 40 Ribu Pekerja Rayakan HUT ke-127,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri ajak ribu pekerja rayakan hut ke
"2 Tahun Buron, Terpidana Korupsi KUR BRI Dijebloskan ke Penjara",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,tahun buron terpidana korupsi kur bri dijebloskan ke penjara
Taspen Gandeng BRI untuk Sejahterakan ASN dan Pensiunan dalam Program “Sejahtera di Purnatugas”,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,taspen gandeng bri untuk sejahterakan asn dan pensiunan dalam program sejahtera di purnatugas
"Blokir Kartu Kredit BRI, Kartu Pengganti belum Diterima",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,blokir kartu kredit bri kartu pengganti belum diterima
"Uang Nasabah BRI Hilang, OJK Kediri Akan Lakukan Pembinaan Bank",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,uang nasabah bri hilang ojk kediri akan lakukan pembinaan bank
BRI Fasilitasi Layanan Keuangan Pertamina Lubricants,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri fasilitasi layanan keuangan pertamina lubricants
"Terdakwa Sakit, Sidang Vonis Eks Pimpinan BRI Kembali Ditunda",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,terdakwa sakit sidang vonis eks pimpinan bri kembali ditunda
Meet the CEO: Dirut PT Bank Rakyat Indonesia Tbk (BRI) Suprajarto,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,meet the ceo dirut pt bank rakyat indonesia tbk bri suprajarto
Mantap! Volume Transaksi BRImo Tembus Rp 2.000 T Lebih,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,mantap volume transaksi brimo tembus rp t lebih
"BRI Bagi Dividen 85%, Pemegang Saham Dapat Rp 43,5 Triliun",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri bagi dividen pemegang saham dapat rp triliun
BRI Isyaratkan Kenaikan Suku Bunga Kredit Bulan Depan,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri isyaratkan kenaikan suku bunga kredit bulan depan
Begini Cara Kerja Pelaku Skimming Nasabah BRI,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,begini cara kerja pelaku skimming nasabah bri
"Komitmen Memajukan UMKM, BRI Gelar Bazaar Klaster Mantriku",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,komitmen memajukan umkm bri gelar bazaar klaster mantriku
BRI Luncurkan Kartu Kredit Bertema Asian Games 2018,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri luncurkan kartu kredit bertema asian games
"Disimpan di BRI, Dana Sitaan Korupsi KPK Dijamin Aman",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,disimpan di bri dana sitaan korupsi kpk dijamin aman
BRI-Majoo Kolaborasi Beri Solusi Digital untuk Merchant di RI,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri majoo kolaborasi beri solusi digital untuk merchant di ri
Mantan Karyawan Vendor ini Bobol Mesin ATM BRI di Pemalang,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,mantan karyawan vendor ini bobol mesin atm bri di pemalang
"Video: Saham Bank Big Cap Ngamuk, BRI Tembus All Time High",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,video saham bank big cap ngamuk bri tembus all time high
BRI Akomodasi Siswa Belajar di Rumah Lewat Aplikasi Ini,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri akomodasi siswa belajar di rumah lewat aplikasi ini
"Bank BRI di Pekanbaru Dirampok, Rp 97 Juta Digasak",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,bank bri di pekanbaru dirampok rp juta digasak
"KUR BRI 2023 Sudah Dibuka, Simak Syarat dan Ketentuannya!",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,kur bri sudah dibuka simak syarat dan ketentuannya
"Catat Nih, Jam Operasional Kantor BRI Selama Ramadan",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,catat nih jam operasional kantor bri selama ramadan
"Bos BRI: Serap 97,22% Naker, UMKM Tulang Punggung Ekonomi RI",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bos bri serap naker umkm tulang punggung ekonomi ri
"Waspada, Penipuan Modus Call Center BRI Palsu Kuras Rekening Nasabah",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,waspada penipuan modus call center bri palsu kuras rekening nasabah
BRI Bertanggung Jawab Penuh Atas Uang Nasabah Korban Skimming,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,bri bertanggung jawab penuh atas uang nasabah korban skimming
BRI Bikin Pasar Percontohan Pengelolaan Sampah di Rogojampi,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri bikin pasar percontohan pengelolaan sampah di rogojampi
"Bukannya Kudet, Ini Alasan BRI Tak Sepenuhnya Jadi Digital",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bukannya kudet ini alasan bri tak sepenuhnya jadi digital
Mantap! KUR BRI Bisa Serap 32 Juta Tenaga Kerja,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,mantap kur bri bisa serap juta tenaga kerja
Top! BRI Raih 2 Penghargaan Internasional Terkait ESG,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,top bri raih penghargaan internasional terkait esg
BRI Gali Potensi Ekonomi Wilayah 3T Lewat Pemberdayaan,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri gali potensi ekonomi wilayah t lewat pemberdayaan
"Tahap Awal di 2023, BRI Salurkan KUR Rp12 Triliun",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,tahap awal di bri salurkan kur rp triliun
"Beli Perusahaan Asuransi, BRI Siapkan Dana Rp 1,5 Triliun",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,beli perusahaan asuransi bri siapkan dana rp triliun
"BRIsat, Momentum Kebangkitan Satelit Indonesia",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,brisat momentum kebangkitan satelit indonesia
"Jadi 'Dewa Penolong', BRI Incar Porsi Kredit UMKM 85% di 2024",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,jadi dewa penolong bri incar porsi kredit umkm di
Satelit BRIsat Milik BRI Dukung Layanan Perbankan Digital,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,satelit brisat milik bri dukung layanan perbankan digital
"Transaksi Dengan Mobile Banking BRI, Berbagai Hadiah Menarik Menanti",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,transaksi dengan mobile banking bri berbagai hadiah menarik menanti
"Bobol Kas BRI Rp 13 Miliar, Praka Harmanto Dihukum 3 Tahun Penjara",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,bobol kas bri rp miliar praka harmanto dihukum tahun penjara
Laba Bersih BRI Agro Tumbuh 160 Persen,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,laba bersih bri agro tumbuh persen
Regional BRI Office Surabaya Bagikan 1.000 Paket Sembako saat Ramadan,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,regional bri office surabaya bagikan paket sembako saat ramadan
"Bingung Mau Zakat atau Infak? Pakai BRImo Bisa, Ini Caranya",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bingung mau zakat atau infak pakai brimo bisa ini caranya
"BRI Tuntaskan Pekerjaan Konservasi Kali Semarang, Kini Bersih dan Asri",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri tuntaskan pekerjaan konservasi kali semarang kini bersih dan asri
Top! BRI Bagi-bagi Saham ke Nasabah Loyal,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,top bri bagi bagi saham ke nasabah loyal
"Fokus Pada Kredit UMKM, BRI Cetak Laba Rp 24,8 T Per September 2019",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,fokus pada kredit umkm bri cetak laba rp t per september
Ini yang Membuat YPP BRI 'Kepincut' dengan Bank Century,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,ini yang membuat ypp bri kepincut dengan bank century
"Sentuh Grassroot, Kredit Mikro BRI Tembus Rp 551,26 T",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,sentuh grassroot kredit mikro bri tembus rp t
Pengirim SMS Teror Bom ke BRI Bangkalan Divonis 1 Tahun Penjara,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,pengirim sms teror bom ke bri bangkalan divonis tahun penjara
"Dukung Pendidikan di Pulau Sebatik, BRI Berikan Mobil Penunjang ke MTs As'adiyah",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,dukung pendidikan di pulau sebatik bri berikan mobil penunjang ke mts as adiyah
Prospek Cerah Holding Ultra Mikro Bakal Genjot Kinerja BRI,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,prospek cerah holding ultra mikro bakal genjot kinerja bri
Tanggapan BRI untuk Surat Bapak Rangga,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,tanggapan bri untuk surat bapak rangga
"Teras BRI Dirampok, Pelaku Sekap 2 Karyawan Bawa Kabur Rp 10 Juta",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,teras bri dirampok pelaku sekap karyawan bawa kabur rp juta
"Ikuti Pola Nasabah, BRI Alihkan Internet Banking ke BRImo",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,ikuti pola nasabah bri alihkan internet banking ke brimo
BRI Gencarkan Transaksi Keuangan Masyarakat Lewat AgenBRILink,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri gencarkan transaksi keuangan masyarakat lewat agenbrilink
Lumayan Nih! Aplikasi BRIMO Berikan BRI Tambahan Rp 724 M,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,lumayan nih aplikasi brimo berikan bri tambahan rp m
Tanpa Flash Sale! Galeri 24 Beri Promo Khusus Nasabah HUT Ke-126 BRI,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,tanpa flash sale galeri beri promo khusus nasabah hut ke bri
2 Warga Meninggal Tertimpa Atap Kanopi Kantor BRI di Banjarnegara,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,warga meninggal tertimpa atap kanopi kantor bri di banjarnegara
DPR Ingin Bank Nasional Buka Cabang di Luar Negeri,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,dpr ingin bank nasional buka cabang di luar negeri
Kemenkop UKM Gandeng BRI Beri Pelatihan Online Kepada UMKM,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,kemenkop ukm gandeng bri beri pelatihan online kepada umkm
"Dirut BRI Sunarso: Cari Pinjaman Rp 5 Juta, Banyak Pengusaha Mikro Lari ke Rentenir",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,dirut bri sunarso cari pinjaman rp juta banyak pengusaha mikro lari ke rentenir
"BUMN Setor Dividen Rp80,2 Triliun ke Negara, Kontribusi Bank BRI Terbesar",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bumn setor dividen rp triliun ke negara kontribusi bank bri terbesar
Sopir Ditemukan Tewas di Parkiran Gedung BRI Semanggi,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,sopir ditemukan tewas di parkiran gedung bri semanggi
Uang Teroris yang Diduga Hasil Rampokan BRI Tangerang Masih Disegel,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,uang teroris yang diduga hasil rampokan bri tangerang masih disegel
Langkah BRI Tak Lagi Sentuh Energi Fosil Tuai Apresiasi,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,langkah bri tak lagi sentuh energi fosil tuai apresiasi
"Polda DIY: Perampok BRI RS Sardjito Profesional, Bikin Bom Rapi",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,polda diy perampok bri rs sardjito profesional bikin bom rapi
"Imbas Corona, BRIsyariah Imbau Nasabah Lunasi Biaya Haji Via Online",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,imbas corona brisyariah imbau nasabah lunasi biaya haji via online
"Rajin Bawa UMKM Naik Kelas, BRI Sabet 2 Penghargaan",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,rajin bawa umkm naik kelas bri sabet penghargaan
PN Jakpus Perintahkan BRI Bayar Upah Eks Karyawan PT PGNI Rp 8 M,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,pn jakpus perintahkan bri bayar upah eks karyawan pt pgni rp m
Rektor UI Ari Kuncoro Mundur dari Wakil Komisaris Utama BRI,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,rektor ui ari kuncoro mundur dari wakil komisaris utama bri
"BRI Bagi Untung Ke Pemegang Saham Rp 13,04 Triliun",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri bagi untung ke pemegang saham rp triliun
BRI Mulai Salurkan KUR Rp 12 Triliun pada Maret 2023,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri mulai salurkan kur rp triliun pada maret
Bisnis Wealth Management BRI Melesat di Tengah Pandemi,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bisnis wealth management bri melesat di tengah pandemi
"Lift Jatuh dari Lantai 11, BRI: Itu Tidak Benar",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,lift jatuh dari lantai bri itu tidak benar
